!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
CGM097	Phase 1	MDM inhibitor	MDM2 | TP53		
CGP-12177	Phase 1	adrenergic receptor agonist	ADRB1 | ADRB2 | ADRB3		
CGP-13501	Preclinical	GABA receptor modulator	GABBR1		
CGP-20712A	Preclinical	adrenergic receptor antagonist	ADRB1 | ADRB3		
CGP-25454A	Preclinical	dopamine receptor antagonist	DRD1 | DRD2 | DRD3 | DRD4 | DRD5		
CGP-37157	Preclinical	mitochondrial Na+/Ca2+ exchanger antagonist | sodium/calcium exchange inhibitor	SLC8A1		
CGP-37849	Phase 1	glutamate receptor antagonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D		
CGP-39551	Preclinical	NMDA receptor antagonist	GRIN1		
CGP-52411	Preclinical	EGFR inhibitor	EGFR		
CGP-53353	Preclinical	EGFR inhibitor | PKC inhibitor	EGFR | PRKCB		
CGP-54626	Preclinical	GABA receptor antagonist	GABBR1 | GABBR2 | KCTD12 | KCTD16 | KCTD8		
cgp 55845	Preclinical	gaba receptor antagonist		Neurology	depression
CGP-55845	Preclinical	GABA receptor antagonist	GABBR1 | GABBR2 | KCTD12 | KCTD16 | KCTD8		
CGP-57380	Preclinical	MAP kinase inhibitor	AURKB | LCK | MKNK1 | MKNK2 | SGK1		
CGP-60474	Preclinical	CDK inhibitor	CDK1 | CDK2		
CGP-71683	Preclinical	neuropeptide receptor antagonist	NPY5R		
CGP-74514	Preclinical	CDK inhibitor	CDK1		
CGP-78608	Preclinical	glutamate receptor antagonist			
CGP-7930	Preclinical	GABA receptor modulator	GABBR1		
CGS-15943	Preclinical	adenosine receptor antagonist	ADORA1 | ADORA2A | ADORA2B | ADORA3		
CGS-20625	Phase 1	benzodiazepine receptor agonist | GABA benzodiazepine site receptor partial agonist	GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6		
CGS-21680	Preclinical	adenosine receptor agonist	ADORA1 | ADORA2A | ADORA2B | ADORA3		
CGS-9896	Preclinical	GABA receptor antagonist	GABRA1 | GABRB2 | GABRG2		
CH-170	Phase 1				
CH223191	Preclinical	aryl hydrocarbon receptor antagonist	AHR		
CH5132799	Phase 1	PI3K inhibitor	MTOR | PIK3CA | PIK3CB | PIK3CD | PIK3CG		
CH-5183284	Phase 2	fibroblast growth factor inhibitor	FGFR1 | FGFR2 | FGFR3		
CH55	Preclinical	retinoid receptor binder	RARA | RARB		
CHC	Preclinical	monocarboxylate transporter inhibitor	SLC16A1		
chenodeoxycholic-acid	Launched	11-beta hydroxysteroid dehydrogenase inhibitor | FXR agonist	HSD11B1 | NR1H4	cardiology | gastroenterology	cerebral cholesterosis | gallstones
CHF5074	Phase 2	gamma secretase modulator	PSEN1		
chicago-sky-blue-6b	Preclinical	glutamate inhibitor | macrophage migration inhibiting factor inhibitor	MIF		
chidamide	Launched	HDAC inhibitor	HDAC10 | HDAC3	hematologic malignancy	peripheral T-cell lymphoma (PTCL)
chiniofon	Launched	antiprotozoal agent		infectious disease	amebiasis
CHIR-124	Preclinical	CHK inhibitor	CHEK1		
CHIR-98014	Preclinical	glycogen synthase kinase inhibitor	GSK3A | GSK3B		
CHIR-99021	Preclinical	glycogen synthase kinase inhibitor	CDK1 | GSK3A | GSK3B | MAPK1		
chloralose	Preclinical				
chlorambucil	Launched	DNA inhibitor		hematologic malignancy | hematologic malignancy	chronic lymphocytic leukemia (CLL) | Hodgkin's lymphoma
chloramine-T	Launched			infectious disease	bacterial gill disease
chloramphenicol	Launched	bacterial 50S ribosomal subunit inhibitor	CD55 | CYP2C19	endocrinology | infectious disease | infectious disease	cholera | fever | meningitis
chloramphenicol palmitate	Launched	protein synthesis inhibitor		"infectious disease, endocrinology"	"meningitis, fever, cholera"
chloramphenicol-palmitate	Launched	protein synthesis inhibitor		endocrinology | infectious disease | infectious disease	cholera | fever | meningitis
chloramphenicol-sodium-succinate	Launched	protein synthesis inhibitor		infectious disease	gram-negative bacterial infections
chlorazanil	Preclinical				
chlorcyclizine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
chlorfenson	Phase 2	other antifungal			
chlorhexidine	Launched	membrane integrity inhibitor		dental | dermatology | infectious disease	cosmetic | gingivitis | skin infections
chlorindanol	Preclinical				
chlorindione	Preclinical				
chlorisondamine-diiodide	Preclinical	acetylcholine receptor antagonist	CHRNA1		
chlormadinone acetate	Launched	5 alpha reductase inhibitor	PGR	endocrinology	"hypermenorrhea, amenorrhea, oligomenorrhea, polymenorrhea"
chlormadinone-acetate	Launched	5 alpha reductase inhibitor	PGR	endocrinology | endocrinology | endocrinology | endocrinology	amenorrhea | hypermenorrhea | oligomenorrhea | polymenorrhea
chlormerodrin	Withdrawn	sodium/potassium/chloride transporter inhibitor	ALDH5A1 | SLC12A1	urology	urinary frequency
chlormethine (hydrochloride)					
chlormezanone	Withdrawn	GABA receptor modulator	GABRA1		
chlormidazole	Launched	fungal lanosterol demethylase inhibitor		infectious disease	fungal infection
chlorobutanol	Launched			neurology/psychiatry | neurology/psychiatry	anesthetic | sedative
chlorocresol	Launched	ryanodine receptor activator		infectious disease	first-aid antiseptic
chlorogenic-acid	Launched	antioxidant	SLC37A4	allergy | neurology/psychiatry | pulmonary	allergic rhinitis | chest congestion | headache
chlorophyllin	Phase 1	cytochrome p450 inhibitor		Infectious disease | urology	hepatitis b | urinary incontinence
chlorophyllin-copper	Phase 1	cytochrome P450 inhibitor			
chloroprocaine	Launched	sodium channel blocker	ATP1A1 | CHRNA10 | GRIN3A | HTR3A | SCN10A | SLC6A3	neurology/psychiatry	local anesthetic
chloropyramine	Launched	histamine receptor antagonist	HRH1	allergy | cardiology | ophthalmology | pulmonary	allergic rhinitis | asthma | conjunctivitis | edema
chloroquine	Launched	antimalarial agent	CYP2C8 | MRGPRX1	infectious disease | infectious disease	amebiasis | malaria
chlorothiazide	Launched	diuretic	CA1 | CA2 | CA4 | SLC12A3	cardiology	hypertension
chlorothymol	Launched				
chlorotrianisene	Launched	estrogenic hormone	ESR1 | ESR2	endocrinology | oncology	menopause | prostate cancer
chloroxine	Launched	opioid receptor antagonist	OPRK1	dermatology | gastroenterology | gastroenterology | infectious disease	dandruff | diarrhea | giardiasis | inflammatory bowel disease
chloroxoquinoline	Launched				
chloroxylenol	Launched	ATP synthase inhibitor		infectious disease	skin infections
chlorphenamine	Launched	histamine receptor antagonist	HRH1	allergy | allergy	allergic rhinitis | urticaria
chlorphenesin	Launched	muscle relaxant		neurology/psychiatry | neurology/psychiatry	muscle relaxant | sedative
chlorpheniramine maleate	Launched	histamine receptor antagonist		allergy	"allergic rhinitis, urticaria"
chlorphenoxamine	Preclinical	histamine receptor antagonist	HRH1		
chlorphensin-carbamate	Launched	muscle relaxant		neurology/psychiatry	spasms
chlorproguanil	Launched	dihydrofolate reductase inhibitor	DHFR	infectious disease	malaria
chlorpromazine	Launched	dopamine receptor antagonist	ADRA1A | ADRA1B | ADRA1D | ADRA2A | ADRA2B | ADRA2C | CALM1 | CHRM1 | CHRM3 | DRD1 | DRD2 | DRD3 | DRD4 | DRD5 | HRH1 | HRH4 | HTR1A | HTR2A | HTR2B | HTR2C | HTR6 | HTR7 | KCNH2 | KIF11 | ORM1 | ORM2 | SMPD1 | TRPC5	gastroenterology | gastroenterology | hematology | infectious disease | neurology/psychiatry	acute intermittent porphyria (AIP) | nausea | schizophrenia | tetanus | vomiting
chlorpropamide	Launched	ATP channel blocker	ABCC8 | KCNJ10	endocrinology	diabetes mellitus
chlorpropham	Phase 1	antiviral			
chlorprothixene	Launched	dopamine receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5 | DRD1 | DRD2 | DRD3 | HRH1 | HTR2A | HTR2B | HTR2C	neurology/psychiatry | neurology/psychiatry	bipolar disorder | schizophrenia
chlorpyrifos	Launched	acetylcholinesterase inhibitor	ACHE		
chlorquinaldol	Launched	other antibiotic		infectious disease	fungal infection
chlortetracycline	Launched	protein synthesis inhibitor		ophthalmology	conjunctivitis
chlortetracycline hcl	Launched	protein synthesis inhibitor		ophthalmology	conjunctivitis
chlorthalidone	Launched	carbonic anhydrase inhibitor	CA1 | CA12 | CA14 | CA2 | CA4 | CA7 | SLC12A1	cardiology | cardiology | cardiology | gastroenterology | nephrology | nephrology | rheumatology	acute glomerulonephritis (AGN) | chronic renal failure | congestive heart failure | edema | hepatic cirrhosis | hypertension | nephrotic syndrome
chlorzoxazone	Launched	bacterial 30S ribosomal subunit inhibitor	KCNMA1 | KCNN4	neurology/psychiatry	muscle relaxant
cholecalciferol	Launched		CYP2J2 | VDR	endocrinology	vitamin D deficiency
cholesterol	Preclinical		RORA		
cholic-acid	Launched	bile acid	ADH1C | CES1 | COX4I1 | COX5A | COX5B | COX6A2 | COX6B1 | COX6C | COX7A1 | COX7B | COX7C | COX8A | ESRRG | FABP6 | FECH | GPBAR1 | MT-CO1 | MT-CO2 | MT-CO3 | PLA2G1B	gastroenterology | genetics | neurology/psychiatry	bile acid synthesis disorders | peroxisomal disorders | Zellweger syndrome
choline	Phase 3	acetylcholine precursor	ACHE | BCHE | CHRNA2 | PCYT1A | PCYT1B | PHOSPHO1 | PLD1 | PLD2		
choline alfoscerate	Launched	acetylcholine precursor		CNS disorders	alzheimer's disease
choline-alfoscerate	Launched	acetylcholine precursor			
CHPG	Preclinical	glutamate receptor agonist	GRM5		
CHR-6494	Preclinical	serine/threonine kinase inhibitor	GSG2		
chromanol-(+/-)	Preclinical	potassium channel blocker			
"chromanol-293B-(-)-[3R,4S]"	Preclinical	potassium channel blocker			
chromium-picolinate	Launched	insulin sensitizer		endocrinology	diabetes mellitus
chromocarb	Launched	antispasmodic			
chrysin	Phase 1	breast cancer resistance protein inhibitor	ABCG2 | AKR1B1 | CDK6 | CYP19A1 | CYP1B1		
chrysophanic-acid	Preclinical	EGFR inhibitor	EGFR | FLT1 | KDR | MTOR		
chs-828	Phase 1	nampt inhibitor	A1BG | NAMPT	Oncology	lung cancer
chuanxiongzine	Phase 2				
CI-844	Phase 2				
CI-923	Phase 1	acetylcholine receptor antagonist			
CI-953	Phase 1	voltage-gated sodium channel blocker	SCN1A | SCN3A		
CI-966	Phase 1	GAT inhibitor	SLC6A1		
CI-976	Phase 1	ACAT inhibitor	ACAT1 | CES1 | SOAT1		
ciaftalan-zinc	Phase 1	reactive oxygen species stimulant			
cianidanol	Withdrawn	fatty acid synthase inhibitor	FASN | PTGS1 | SCN5A		
cibenzoline	Launched	sodium channel blocker		cardiology	cardiac arrythmia
ciclesonide	Launched	glucocorticoid receptor agonist	NR3C1 | SERPINA6	allergy	allergic rhinitis
ciclopirox	Launched	membrane integrity inhibitor	ATP1A1	infectious disease	onychomycosis
cicloprofen	Preclinical	cyclooxygenase inhibitor	PTGS1 | PTGS2		
CID-16020046	Preclinical	G protein-coupled receptor antagonist	GPR55		
CID-2011756	Preclinical	protein kinase inhibitor	PKD1		
CID-2745687	Preclinical	G protein-coupled receptor antagonist	GPR35		
CID-5458317	Preclinical	MAP kinase phosphatase inhibitor	DUSP6 | MAPK3		
cidofovir	Launched	DNA polymerase inhibitor		infectious disease | infectious disease	acquired immunodeficiency syndrome (AIDS) | cytomegalovirus retinitis
ciglitazone	Phase 2	PPAR receptor agonist	INS | PPARG		
cilastatin	Launched	dehydropeptidase inhibitor	DPEP1		
cilazapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology | cardiology	congestive heart failure | hypertension
cilazapril monohydrate	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	"hypertension, congestive heart failure"
cilengitide	Phase 3	integrin antagonist	ITGAV | ITGB3 | ITGB5		
cilnidipine	Launched	calcium channel blocker	CACNA1B | CACNA1C	cardiology	hypertension
cilofexor	Phase 3	FXR agonist	NR1H4		
cilomilast	Phase 3	phosphodiesterase inhibitor	IL12A | IL12B | IL1B | PDE4A | PDE4B | PDE4C | PDE4D | TNF		
cilostamide	Preclinical	phosphodiesterase inhibitor	PDE3A | PDE3B		
cilostazol	Launched	phosphodiesterase inhibitor	CYP2C19 | CYP3A5 | PDE3A | PDE3B	cardiology	claudication
ciluprevir	Preclinical	serine protease inhibitor	NS3		
CIM-0216	Preclinical	transient receptor potential channel agonist	TRPM3		
cimaterol	Preclinical	adrenergic receptor agonist	ADRB1 | ADRB2 | ADRB3		
cimetidine	Launched	histamine receptor antagonist	HRH2 | SLC29A4 | SLC47A1 | SLC47A2	endocrinology | gastroenterology | gastroenterology | gastroenterology | gastroenterology | hematologic malignancy	aggressive systemic mastocytosis (ASM) | duodenal ulcer disease | endocrine adenoma | gastroesophageal reflux disease (GERD) | peptic ulcer disease (PUD) | Zollinger-Ellison syndrome
cimetropium	Launched	acetylcholine receptor antagonist	CHRM1	gastroenterology	irritable bowel syndrome
cimlanod	Phase 2	nitric oxide donor		cardiology	congestive heart failure
cinacalcet	Launched	calcium channel activator	CASR	endocrinology | endocrinology | nephrology | oncology	chronic kidney disease (CKD) | hypercalcemia | hyperparathyroidism | parathyroid carcinoma
cinaciguat	Phase 2	guanylate cyclase activator	GUCY1A3 | GUCY1B3		
cinalukast	Phase 2	leukotriene receptor antagonist	CYSLTR1		
cinanserin	Preclinical	serotonin receptor antagonist	HTR2A		
cinchocaine	Launched	sodium channel blocker	CALM1 | SCN10A | SCN5A	neurology/psychiatry	local anesthetic
cinchonidine	Phase 1	P glycoprotein inhibitor	ABCB1		
cinchonine	Preclinical	P glycoprotein inhibitor	CYP2D6		
cinchophen	Launched	analgesic agent		rheumatology	gout
cinepazet	Launched	vasodilator			
cinepazide	Withdrawn	calcium channel activator			
cinflumide	Phase 2	muscle relaxant			
cinnamaldehyde	Preclinical	aldose reductase inhibitor | TRPV agonist	AKR1B1 | TRPA1		
cinnarazine	Launched	calcium channel blocker		gastroenterology | gastroenterology | neurology/psychiatry | ophthalmology	Cogan's syndrome | Meniere's disease | nausea | vomiting
cinobufotalin	Phase 1	anticancer agent			
cinoctramide	Preclinical				
cinoxacin	Launched	topoisomerase inhibitor		infectious disease	urinary tract infections
cinoxate	Launched			dermatology	sunscreen lotion
CINPA-1	Preclinical	CAR antagonist	NR1H4 | NR1I3 | PPARG		
cinromide	Phase 3				
cintirorgon	Phase 1/Phase 2	ROR agonist	RORC		
cintriamide	Preclinical				
cipamfylline	Phase 2	phosphodiesterase inhibitor	PDE4A | PDE4B | PDE4C | PDE4D		
cipargamin	Phase 2	antimalarial agent			
cipemastat	Phase 3	metalloproteinase inhibitor	ADAM17 | MMP1 | MMP13 | MMP2 | MMP3 | MMP8 | MMP9		
ciprofibrate	Launched	PPAR receptor agonist	LPL | PPARA	endocrinology	hyperlipidemia
ciprofloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A	otolaryngology	otitis
ciproxifan	Preclinical	histamine receptor antagonist	ADRA2A | ADRA2C | HRH3 | HRH4 | HTR3A		
CIQ	Preclinical	glutamate receptor potentiator	GRIN2C | GRIN2D		
cirazoline	Preclinical	adrenergic receptor agonist	ADRA1A		
"cis-9,trans-11-conjugated-linoleic-acid"	Launched				
cis-aconitic-acid	Preclinical		ACO2		
cis-ACPD	Preclinical	glutamate receptor agonist	GRM2 | GRM3 | GRM6 | GRM7 | GRM8		
cisapride	Withdrawn	serotonin receptor agonist	CYP2B6 | CYP2C8 | CYP3A5 | CYP3A7 | HTR2A | HTR3A | HTR4 | KCNH2		
cisatracurium	Launched	acetylcholine receptor antagonist	CHRNA2	critical care | neurology/psychiatry	endotracheal intubation | muscle relaxant
"cis-exo-camphanediol-2,3"	Phase 1	nitric oxide stimulant	NOS3		
cisplatin	Launched	DNA alkylating agent | DNA synthesis inhibitor	FASLG | SLC22A2 | TXNRD1 | TXNRD2 | XIAP	oncology | oncology | oncology	bladder cancer | ovarian cancer | testicular carcinoma
cis-urocanic acid	Phase 2	serotonin receptor agonist	HTR2A		
cis-urocanic-acid	Phase 2	serotonin receptor agonist	HTR2A		
citalopram	Launched	selective serotonin reuptake inhibitor (SSRI)	ADRA1A | CHRM1 | HRH1 | SLC6A2 | SLC6A3 | SLC6A4	neurology/psychiatry	depression
citarinostat	Phase 1	HDAC inhibitor	HDAC6		
CITCO	Preclinical	constitutive androstane receptor (CAR) agonist	NR1I3		
citicoline	Launched	glutathione transferase stimulant | membrane permeability enhancer	ACHE | SLC1A2	neurology/psychiatry | neurology/psychiatry | neurology/psychiatry | neurology/psychiatry | neurology/psychiatry | ophthalmology	Alzheimer's disease | attention-deficit/hyperactivity disorder (ADHD) | glaucoma | Parkinson's Disease | senile dementia | stroke
citiolone	Preclinical	lipotropic | mucolytic agent			
citric-acid	Preclinical	coagulation factor inhibitor	AKR1B1 | ANG | APRT | BHMT | C8G | CA4 | CPB1 | CS | CTDSP1 | GNMT | HGS | HS3ST3A1 | IL4I1 | ITPA | LSM6 | MDH2 | MIF | PDE5A | PKD2L1 | PLEKHA1 | RNASE1 | RNASE3 | SRC | TNFSF13B | UCK2		
CJ-033466	Preclinical	serotonin receptor agonist	HTR4		
CJ-13610	Phase 2	lipoxygenase inhibitor	ALOX5		
CK-101	Preclinical	EGFR inhibitor	EGFR		
CK-636	Preclinical	actin related protein inhibitor	ACTR2 | ACTR3 | ARPC1B | ARPC2 | ARPC3 | ARPC4 | ARPC5		
CKD-712	Phase 1	NFkB pathway inhibitor	IL6 | JAK2 | NFKB1 | STAT1 | TNF		
CKI-7	Preclinical	casein kinase inhibitor	CSNK1G2		
CL-218872	Phase 1	benzodiazepine receptor agonist	GABRA1 | GABRA2 | GABRA3 | GABRA5 | GABRB2 | GABRG2		
CL-225385	Phase 2				
CL316243	Phase 2	adrenergic receptor agonist	ADRB3 | UCP1 | UCP2 | UCP3		
cladribine	Launched	adenosine deaminase inhibitor | ribonucleotide reductase inhibitor	ADA | PNP | POLA1 | POLE | POLE2 | POLE3 | POLE4 | RRM1 | RRM2 | RRM2B	hematologic malignancy	hairy cell leukemia
clamikalant	Preclinical	ATP-sensitive potassium channel antagonist	KCNJ8		
clanfenur	Preclinical	anticancer agent			
clarithromycin	Launched	bacterial 50S ribosomal subunit inhibitor	CYP2C19 | CYP3A4 | CYP3A5 | CYP3A7	infectious disease | infectious disease | otolaryngology | otolaryngology | otolaryngology | otolaryngology | pulmonary	bronchitis | otitis | pharyngitis | pneumonia | sinusitis | skin infections | tonsillitis
clascoterone	Withdrawn	androgen receptor antagonist	AR	dermatology	acne vulgaris (av)
clavulanate	Launched	beta lactamase inhibitor		otolaryngology	otitis
clebopride	Launched	dopamine receptor antagonist	ACHE | DRD2	gastroenterology	nausea
clemastine	Launched	histamine receptor antagonist	HRH1	allergy | allergy	allergic rhinitis | urticaria
clemizole	Launched	HCV inhibitor		allergy	allergic rhinitis
clenbuterol	Launched	adrenergic receptor agonist	ABCC8 | ADRB2 | KCNJ11	pulmonary | pulmonary	asthma | chronic obstructive pulmonary disease (COPD)
clenbuterol hydrochloride	Launched	adrenergic receptor agonist	ABCC8 | ADRB2 | KCNJ11	pulmonary	"chronic obstructive pulmonary disease (copd), asthma"
cleviprex	Launched	calcium channel blocker	CACNA1C | CACNA1D | CACNA1F | CACNA1S	cardiology	hypertension
clevudine	Launched	DNA polymerase inhibitor		infectious disease	hepatitis B
clidinium	Launched	acetylcholine receptor antagonist	CHRM1 | CHRM3	gastroenterology | gastroenterology | gastroenterology	enterocolitis | irritable bowel syndrome | peptic ulcer disease (PUD)
climbazole	Launched	enzyme inducer		dermatology | dermatology	dandruff | eczema
clinafloxacin	Phase 3	bacterial DNA gyrase inhibitor			
clinafloxacin (pd127391)	Phase 3	bacterial dna gyrase inhibitor			
clindamycin	Launched	protein synthesis inhibitor		infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease	bacterial septicemia | bone and joint infections | gynecologic infections | intra-abdominal infections | pneumonia | respiratory tract infections | skin infections
clindamycin-palmitate	Launched	bacterial 50S ribosomal subunit inhibitor		infectious disease | infectious disease | infectious disease | infectious disease | infectious disease	gynecologic infections | intra-abdominal infections | peritonitis | pneumonia | skin infections
clindamycin palmitate hcl	Launched	bacterial 50s ribosomal subunit inhibitor		infectious disease	"intra-abdominal infections, skin infections, pneumonia, peritonitis, gynecologic infections"
clindamycin-phosphate	Launched	protein synthesis inhibitor		obstetrics/gynecology	bacterial vaginosis
clinofibrate	Launched	lipase clearing factor inhibitor	LPL	endocrinology	hypertriglyceridemia
clioquinol	Withdrawn	chelating agent	OPRK1		
clobenpropit	Preclinical	histamine receptor antagonist	HRH1 | HRH2 | HRH3 | HRH4		
clobetasol-propionate	Launched	glucocorticoid receptor agonist	NR3C1 | PLA2G1B	dermatology	corticosteroid-responsive dermatoses
clobetasone-butyrate	Launched	corticosteroid agonist	NR3C1	dermatology | dermatology | dermatology	dermatitis | eczema | psoriasis
clobutinol	Withdrawn	antitussive			
clocortolone-pivalate	Launched	steroid	NR3C1 | PLA2G1B	dermatology	corticosteroid-responsive dermatoses
clodronic-acid	Launched	bone resorption inhibitor	SLC25A4 | SLC25A5 | SLC25A6	endocrinology | endocrinology | hematologic malignancy | orthopedics	hypercalcemia | hyperparathyroidism | multiple myeloma | osteoporosis
clofarabine	Launched	ribonucleotide reductase inhibitor	POLA1 | POLD1 | POLE | RRM1 | RRM2 | RRM2B | SLC22A8	hematologic malignancy	acute lymphoblastic leukemia (ALL)
clofazimine	Launched	GK0582 inhibitor		infectious disease	leprosy
clofedanol	Launched	histamine receptor antagonist	HRH1	pulmonary	cough suppressant
clofibrate	Launched	PPAR receptor agonist	LPL | PPARA	cardiology | endocrinology	cholesterol | hyperlipidemia
clofibric-acid	Launched	PPAR receptor agonist	PPARA	endocrinology	hyperlipidemia
clofilium	Phase 2	potassium channel blocker	KCNA5 | KCND2 | KCNH1		
clofoctol	Launched	protein synthesis inhibitor		infectious disease	gram-positive bacterial infections
clomesone	Phase 1	DNA inhibitor			
clomethiazole	Launched	GABA receptor antagonist | GABA receptor modulator	GABRA1	neurology/psychiatry | neurology/psychiatry | neurology/psychiatry	muscle relaxant | Parkinson's Disease | sedative
clomifene	Launched	estrogen receptor antagonist	AR | ESR1	obstetrics/gynecology	infertility
clomipramine	Launched	serotonin transporter (SERT) inhibitor	CYP2C19 | GSTP1 | HTR2A | HTR2B | HTR2C | SLC6A2 | SLC6A3 | SLC6A4	neurology/psychiatry	obsessive compulsive disorder (OCD)
clonidine	Launched	adrenergic receptor agonist	ADRA1A | ADRA1B | ADRA1D | ADRA2A | ADRA2B | ADRA2C	cardiology | neurology/psychiatry	attention-deficit/hyperactivity disorder (ADHD) | hypertension
clonixin	Preclinical	cyclooxygenase inhibitor	PTGS1 | PTGS2	infectious disease | rheumatology	rheumatoid arthritis | soft tissue infection
clonixin-lysinate	Launched	cyclooxygenase inhibitor		neurology/psychiatry	pain relief
clopamide	Launched	sodium/chloride cotransporter inhibitor		cardiology	hypertension
cloperastine	Launched	antitussive		pulmonary	cough suppressant
cloperastine-fendizoate	Preclinical	potassium channel antagonist	KCNH2		
clopidogrel	Launched	purinergic receptor antagonist	CYP2B6 | CYP2C19 | CYP3A5 | P2RY12	cardiology | cardiology | cardiology | neurology/psychiatry	acute coronary syndrome (ACS) | myocardial infarction | peripheral artery disease (PAD) | stroke
clopidol	Launched			infectious disease	coccidiosis
cloprostenol-(+/-)	Launched	prostaglandin receptor agonist	PTGDR | PTGER1 | PTGER3 | PTGFR | TBXA2R	obstetrics/gynecology	endometriosis
cloranolol	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2 | ADRB3	cardiology	hypertension
clorgiline	Phase 2	monoamine oxidase inhibitor	MAOA		
clorofene	Launched				
clorotepine	Launched	adrenergic receptor antagonist | dopamine receptor antagonist	ADRA1A | ADRA1B | ADRA1D | DRD2 | HRH1 | HTR2C | HTR6	neurology/psychiatry	psychosis
clorprenaline	Launched	adrenergic receptor agonist	ADRB1 | ADRB2	pulmonary	asthma
clorsulon	Launched	glycolysis inhibitor		infectious disease | infectious disease | infectious disease | infectious disease | infectious disease	gastrointestinal roundworms | lice | liver flukes | lungworms | mites
closantel	Launched	"chitinase inhibitor | chitinase inhibitor, nfkb pathway inhibitor | NFkB pathway inhibitor"		infectious disease	liver flukes
clotiapine	Launched			neurology/psychiatry	psychosis
clotrimazole	Launched	cytochrome P450 inhibitor | imidazoline receptor ligand	CYP3A4 | CYP51A1 | KCNN4 | NR1I2 | NR1I3 | TRPM2 | TRPM4 | TRPM8	infectious disease | infectious disease	oropharyngeal candidiasis | vulvovaginal candidiasis
cloxacillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
cloxyquin	Preclinical	potassium channel activator	KCNK18		
clozapine	Launched	dopamine receptor antagonist | serotonin receptor antagonist	ADRA1A | ADRA1B | ADRA1D | ADRA2A | ADRA2B | ADRA2C | CALY | CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5 | CYP2C19 | DRD1 | DRD2 | DRD3 | DRD4 | DRD5 | HRH1 | HRH4 | HTR1A | HTR1B | HTR1D | HTR1E | HTR1F | HTR2A | HTR2B | HTR2C | HTR3A | HTR5A | HTR6 | HTR7	neurology/psychiatry	schizophrenia
CM-4620	Phase 2	calcium release activated channel modulator	ORAI1 | ORAI2		
CMPD-1	Preclinical	p38 MAPK inhibitor	GNRHR | MAPK14		
cndac	Phase 2				
cndac (hydrochloride)	Phase 1/Phase 2	antineoplastic agent	ATP8A2 | BRCA2 | RAD51D	hematologic malignancy	acute myeloid leukemia (aml)
CNQX	Phase 1	glutamate receptor antagonist	GRIA1 | GRIA2 | GRIA3 | GRIA4		
CNX-2006	Preclinical	EGFR inhibitor	EGFR		
CNX-774	Preclinical	Bruton's tyrosine kinase (BTK) inhibitor	BTK		
CO-101244	Preclinical	glutamate receptor antagonist	GRIN2B		
CO-102862	Phase 1	sodium channel blocker	SCN2A | SCN4A | SCN9A		
cobicistat	Launched	cytochrome P450 inhibitor	CYP3A4 | CYP3A43 | CYP3A5 | CYP3A7 | SLCO1B3	infectious disease	human immunodeficiency virus (HIV-1)
cobimetinib	Launched	MEK inhibitor	MAP2K1	oncology	melanoma
coenzyme-A	Launched		ACAT2 | CRAT | CS | DBI | HMGCR | KAT2A | KAT2B | KAT5		
